,Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
468,Datiware Maritime Infra Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,16.4,20.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,18.05,18.05,18.9,0.0,18.85,10.97,9.48,0.0,9.48,0.0,9.48,9.95,10.44,15.38,0.0,17.78,19.59,20.56
469,Deccan Cements Ltd.,167.25,164.5,154.0,137.0,142.0,148.0,129.0,177.4,192.0,244.5,263.0,207.65,185.05,179.6,163.0,170.6,285.25,383.0,385.15,309.2,393.8,450.0,695.75,576.25,1006.2,981.95,932.9,1132.9,1153.1,560.05,555.1,506.7,403.15,389.0,419.5,416.9,392.0,357.55,273.05,187.2,257.6,284.75,373.0,413.75,592.3,710.95,587.65,553.7,467.9,523.7,493.95,413.9,497.35,538.4,564.2,590.5,693.35,595.2,636.85,786.2,915.7,1105.15,1033.1
470,Deccan Gold Mines Ltd.,25.05,23.8,22.95,18.05,20.3,21.1,19.45,19.8,18.55,20.15,19.45,16.8,16.6,23.55,20.8,17.0,23.0,22.5,47.5,30.2,39.55,34.1,34.5,34.3,48.6,53.75,44.0,38.45,35.3,37.8,36.4,31.35,41.5,32.7,30.5,27.1,21.55,18.45,18.5,11.6,14.7,14.05,17.89,15.85,32.6,21.5,25.05,33.55,24.6,24.45,38.1,44.43,59.78,91.14,122.75,96.05,110.55,142.25,113.5,94.4,152.2,140.9,127.5
471,Decillion Finance Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.77,13.7,10.85,0.0,11.0,11.0,0.0,11.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98,0.0,0.0,0.0,22.5,22.45,21.5,55.15,36.45,17.63,14.12,15.01,26.15,28.67,27.67,40.35,42.2,43.77,42.96,51.98
472,Decipher Labs Ltd.,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,219.9,73.65,20.25,6.59,7.81,8.92,10.48,9.31,6.1,6.8,0.0,6.06,3.67,4.8,8.88,8.2,11.71,11.71,20.02,20.2,29.75,26.35,20.9,25.0,25.35,19.0,29.0,18.85,26.0,23.0,34.9,33.45,35.8,32.25,139.7,52.95,40.7,31.6,31.55,14.19,17.82,17.51,17.43,14.77,17.83,16.21,14.95,10.51,11.59,10.47,9.54
473,Dee Development Engineers Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.1,281.15,305.25,241.45,321.05,266.75,252.5
474,Deep Diamond India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,14.0,9.85,12.5,14.5,17.5,14.75,13.5,12.75,10.5,9.65,10.03,10.1,0.0,0.0,10.1,0.0,10.6,14.1,13.7,13.75,11.3,13.0,14.17,14.39,19.55,130.45,124.0,11.21,8.93,5.67,6.74,5.91,5.97,9.62,6.65,4.48,4.54,4.54,8.69
475,Deep Energy Resources Ltd. [Merged],103.8,93.35,89.95,62.0,67.4,76.9,57.2,64.05,51.65,43.35,48.35,31.5,31.85,29.2,47.45,45.2,80.1,73.65,65.6,47.15,87.6,157.7,185.6,144.3,175.7,225.4,281.35,329.45,279.1,219.95,205.5,145.35,85.55,93.15,126.5,139.0,141.2,101.45,105.2,52.3,73.15,67.65,43.3,33.8,43.0,46.45,44.55,52.2,84.95,119.05,131.95,106.65,129.7,150.0,196.8,178.35,168.75,310.05,0.0,0.0,0.0,0.0,0.0
476,Deepak Fertilisers & Petrochemicals Corpn. Ltd.,139.7,173.75,161.05,158.7,166.6,164.6,121.1,151.0,133.0,131.6,123.25,100.1,93.4,108.15,103.85,120.2,147.9,159.3,143.55,136.95,134.55,128.0,159.55,147.55,167.35,208.0,206.8,261.7,268.85,368.5,425.9,287.05,268.3,192.9,148.55,132.85,107.75,97.8,97.25,74.95,118.65,152.35,157.25,226.9,395.7,407.7,373.0,562.3,594.6,878.85,715.2,547.95,562.45,645.95,678.75,504.65,677.25,1065.6,1200.1,1115.15,1707.0,1503.05,1518.2
477,Deepak Nitrite Ltd.,180.25,179.9,195.6,177.3,186.0,174.85,152.5,144.55,164.65,179.4,265.1,265.1,269.0,240.0,301.25,428.45,87.75,77.5,81.75,67.9,62.45,62.85,73.25,67.75,86.15,118.7,91.8,131.25,161.05,193.7,231.9,248.85,243.4,292.35,220.9,274.6,290.15,299.35,372.9,386.6,475.1,820.05,942.4,1656.95,1807.45,2405.85,2489.5,2244.15,1736.95,2036.9,1985.65,1842.35,2173.45,2121.05,2482.25,2121.65,2502.05,2904.9,2493.4,1982.75,1985.35,1835.95,1751.75
478,Delta Corp Ltd.,34.4,78.6,106.55,75.35,100.0,99.15,55.8,68.95,66.85,70.7,73.4,40.9,52.6,61.0,104.2,99.05,93.0,89.2,90.75,80.25,72.45,77.0,80.25,66.1,95.95,167.5,110.05,180.95,154.85,194.2,307.7,250.35,216.85,210.4,253.55,254.7,171.0,169.0,197.95,65.5,86.75,110.45,160.6,162.0,177.3,263.3,258.7,330.25,166.45,198.6,212.6,180.7,253.8,142.7,145.9,110.65,129.85,129.9,110.8,83.24,90.35,78.21,77.36
479,Delta Manufacturing Ltd.,19.19,28.95,41.45,36.3,40.95,30.5,25.55,29.2,32.0,30.9,36.7,27.5,21.85,30.6,39.95,22.1,27.75,38.1,32.75,32.2,28.05,33.2,31.7,29.15,25.8,34.0,34.5,36.3,44.95,38.5,56.2,55.3,59.45,110.05,83.75,78.75,50.65,44.0,41.4,27.9,28.3,18.0,27.15,30.75,52.55,51.75,65.65,68.1,74.7,70.55,74.55,68.25,77.4,89.02,95.29,93.17,96.14,97.22,108.4,56.07,98.2,79.06,76.87
480,Desh Rakshak Aushdhalaya Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.55,0.0,0.0,10.98,8.96,0.0,0.0,9.15,8.7,7.6,7.41,7.42,8.9,8.8,4.33,6.4,6.82,0.0,8.0,7.5,7.5,7.13,0.0,0.0,6.78,0.0,5.88,5.0,4.09,0.0,0.0,4.29,0.0,0.0,4.29,0.0,4.09,0.0,0.0,4.1,0.0,4.3,4.51,4.96,5.2,6.01,0.0,6.62,6.95,9.26,11.24,16.57,30.13,38.09,62.68,48.53
481,Dev Information Technology Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.95,182.25,216.0,127.7,95.35,141.85,136.6,164.6,101.45,112.6,152.1,165.8,111.0,111.95,40.1,40.0
482,Devine Impex Ltd.,43.0,69.2,17.1,11.01,14.32,18.15,23.75,9.9,13.75,18.8,23.5,22.8,27.0,39.0,40.9,42.15,43.1,19.4,37.85,43.65,24.05,8.85,7.1,6.19,8.15,9.9,6.56,6.45,5.2,4.75,3.66,3.58,3.75,5.73,5.47,0.0,5.47,5.15,4.98,5.05,5.05,3.75,2.0,2.13,3.93,4.24,5.57,5.9,5.05,4.9,5.34,5.1,6.6,6.48,7.0,7.3,8.25,10.16,10.0,8.9,9.01,7.9,10.8
483,Devyani International Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.75,165.0,175.3,155.4,194.6,180.7,144.55,188.15,213.85,193.45,150.45,164.6,195.85,182.55,148.95,167.6,167.95,164.0
484,Dhabriya Polywood Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,29.0,47.0,46.1,49.0,55.9,54.0,94.6,88.0,170.3,161.45,145.4,143.7,122.0,110.65,85.8,82.7,71.25,56.0,48.5,36.6,26.9,28.0,30.2,35.8,50.0,67.25,68.9,92.15,84.5,112.1,110.0,123.05,125.05,208.65,335.75,367.55,254.5,321.1,431.9,372.55,312.4,393.85,402.35,377.7
485,Dhampur Sugar Mills Ltd.,63.4,78.7,76.45,60.0,56.75,41.05,29.2,42.6,50.15,69.55,52.35,41.6,35.8,30.7,34.5,41.15,63.75,49.9,42.85,36.0,29.45,31.2,65.55,93.05,121.35,115.5,131.2,217.05,191.4,259.4,215.6,136.65,81.15,110.45,159.65,233.05,189.0,209.0,232.4,82.75,132.45,140.3,168.6,183.0,368.2,293.55,307.05,534.9,213.2,213.85,248.25,223.3,269.75,305.15,253.4,207.85,223.15,228.05,161.5,119.55,153.7,133.05,136.05
486,Dhampure Specialty Sugars Ltd.,24.3,24.0,24.8,22.7,16.5,16.0,13.05,12.5,11.6,14.09,9.68,9.44,11.9,12.49,13.74,8.39,15.06,14.35,13.0,14.35,11.68,12.31,15.5,16.62,19.75,15.35,16.75,17.65,15.25,14.15,16.25,12.6,11.78,11.78,11.39,15.9,12.95,14.41,14.91,9.97,11.8,13.73,23.45,23.4,40.05,34.95,38.8,39.8,38.35,39.15,30.45,45.9,45.27,49.69,79.47,79.84,91.41,91.93,116.95,99.7,94.85,87.61,84.38
487,Dhanada Corporation Ltd.,9.25,8.4,8.82,8.65,10.69,10.24,9.66,14.3,29.05,23.25,13.85,13.05,11.49,5.09,5.17,5.55,8.1,13.23,10.19,6.0,5.14,6.28,6.75,6.1,5.25,4.16,4.11,4.51,5.1,3.61,4.65,3.44,4.18,6.51,3.25,2.36,2.31,1.19,1.02,1.69,4.81,3.02,2.3,6.68,6.06,6.51,4.72,6.21,5.3,3.95,3.0,3.31,2.54,1.7,1.96,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
