,Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
1271,Natural Capsules Ltd.,43.0,49.8,56.6,41.0,42.1,40.2,35.5,42.0,37.5,43.4,39.9,32.6,32.8,31.0,35.0,34.85,41.0,64.1,76.0,71.3,70.55,118.65,149.9,108.0,99.0,87.0,87.0,78.4,72.6,66.05,122.2,103.5,90.0,96.3,78.0,65.0,62.25,49.5,55.55,32.85,49.7,87.0,93.5,107.55,149.6,160.55,331.5,462.2,460.0,546.35,513.15,392.95,389.45,382.7,359.75,305.5,313.7,316.0,271.55,184.2,220.6,273.1,215.1
1272,Nava Ltd.,422.45,377.4,326.05,252.3,209.95,185.95,184.6,217.8,183.1,165.9,180.25,166.35,171.75,164.5,170.25,158.9,240.35,213.85,196.45,178.75,142.7,150.0,164.8,163.9,239.4,132.7,110.7,125.6,133.3,123.75,146.35,134.55,129.6,119.65,120.5,111.75,94.15,82.2,74.25,34.4,51.25,57.0,63.45,69.6,107.2,121.7,110.15,140.8,177.3,187.7,246.2,218.2,305.95,451.85,437.3,487.75,747.4,1147.5,987.6,518.1,606.2,651.25,615.85
1273,Navin Fluorine Intl. Ltd.,284.95,305.0,291.75,251.35,289.0,348.1,281.05,352.85,322.15,295.85,292.7,213.45,159.65,183.75,262.1,347.25,612.5,644.0,611.7,836.5,971.25,1207.25,1866.25,1691.75,2035.65,2222.75,2524.4,3043.7,3031.9,693.25,828.85,770.9,629.2,685.85,696.1,711.15,706.4,734.5,1006.35,1224.65,1621.55,2203.5,2612.05,2750.1,3750.15,3683.35,4187.1,4082.1,3645.45,4495.4,4068.4,4265.3,4502.1,3766.05,3851.95,3112.0,3574.6,3440.25,3246.75,4208.35,4814.5,4617.75,4998.7
1274,Navkar Urbanstructure Ltd.,15.75,17.2,13.83,9.06,10.6,11.28,10.63,11.13,9.36,10.93,7.53,7.21,6.04,6.25,7.23,7.87,11.44,16.44,10.5,15.9,15.95,14.25,22.7,17.1,20.9,21.2,14.5,16.1,19.95,23.5,17.0,22.8,25.15,17.05,27.0,20.5,20.5,23.0,20.0,9.5,8.54,9.97,9.1,9.15,17.1,49.5,42.6,60.9,15.8,12.34,11.99,6.75,9.89,5.7,3.89,4.31,14.54,13.79,11.01,13.67,1.9,2.5,2.49
1275,Navneet Education Ltd.,49.25,63.05,61.9,55.15,63.15,63.85,51.7,57.95,56.65,57.6,65.15,58.1,59.05,52.8,59.4,56.85,80.35,97.85,105.2,99.25,102.75,96.05,96.2,84.4,96.9,99.5,111.0,162.5,178.6,165.35,164.1,142.25,125.1,112.25,105.4,108.65,106.0,109.55,92.25,61.95,76.55,76.7,83.7,80.1,91.8,111.7,88.95,89.45,94.05,132.25,124.85,95.35,122.65,153.65,151.3,137.8,156.05,148.1,147.05,139.65,142.6,152.6,163.4
1276,Nazara Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.95,1510.55,2292.35,2293.75,1637.85,669.25,653.15,580.05,516.5,724.05,835.3,856.85,670.35,868.95,984.6,1015.1,947.35,1297.75,254.8,266.5
1277,Nectar Lifesciences Ltd.,37.8,32.95,31.15,23.9,25.75,21.2,16.5,24.05,19.75,19.25,20.95,15.65,14.4,12.22,18.65,24.2,29.55,38.3,35.1,36.9,33.95,38.1,54.05,38.0,36.4,36.15,32.9,35.2,32.2,26.65,38.8,26.45,22.0,22.45,20.55,17.1,14.9,13.03,12.13,9.89,21.53,22.65,23.95,18.6,40.2,29.45,26.85,24.05,23.3,21.0,24.45,15.86,20.44,24.46,32.16,30.11,31.34,40.11,39.0,22.98,22.22,14.5,15.25
1278,Neelamalai Agro Inds. Ltd.,380.05,366.25,425.0,312.0,385.25,585.0,547.25,611.25,741.25,655.05,975.0,1210.0,0.0,0.0,0.0,1092.1,940.0,1136.0,974.9,972.5,868.5,886.75,899.0,802.0,964.5,995.0,930.0,1004.0,1255.05,1120.1,1499.45,1383.55,1324.05,1344.0,1502.05,1356.0,1423.8,0.0,1257.8,858.0,900.9,993.15,1412.9,1580.0,2851.5,3566.35,3867.65,3750.9,3531.05,4000.0,3610.35,3332.65,3400.0,3385.0,3415.1,3702.85,4203.5,4700.0,4264.7,3249.95,3758.05,3650.0,3600.05
1279,Nelcast Ltd.,72.25,102.25,93.8,98.3,101.0,21.75,23.95,24.65,25.4,21.45,23.05,20.05,16.35,16.1,20.35,19.55,33.95,31.1,35.5,32.95,36.0,51.95,70.75,56.2,61.5,58.25,50.95,58.5,64.8,67.4,96.2,81.25,78.8,70.9,80.25,71.4,51.1,41.7,51.9,30.05,42.4,60.65,62.75,64.75,72.45,87.0,81.05,59.0,58.6,78.9,99.35,89.06,91.52,163.5,157.35,128.4,149.5,136.75,123.2,82.92,148.4,125.1,127.7
1280,Nelco Ltd.,117.55,116.45,116.75,71.1,71.3,55.3,42.6,49.1,46.65,52.95,51.9,39.1,32.65,33.4,37.3,38.15,60.2,87.6,81.35,69.15,73.75,62.55,123.8,89.3,97.4,82.95,77.75,78.75,98.45,120.5,122.6,154.95,248.85,237.9,250.3,273.25,298.1,243.3,240.9,134.5,194.7,197.35,196.15,188.6,373.4,719.6,725.5,714.75,606.95,857.1,712.25,517.6,726.8,783.85,794.5,693.1,770.65,1028.3,1262.75,899.55,1015.0,842.5,849.1
1281,Neo Corp Intl. Ltd.,52.45,57.75,61.0,53.95,44.35,42.5,41.85,28.6,28.65,36.05,30.1,22.35,19.95,16.3,16.06,9.76,16.15,24.55,36.55,28.9,32.75,35.05,32.1,11.49,9.9,13.44,9.72,7.42,4.21,3.71,4.04,2.5,2.13,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1282,Neo Infracon Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,9.59,16.09,13.3,10.21,11.0,17.95,15.06,18.65,17.1,25.2,33.9,32.2,39.6,68.0,30.35,54.9,50.6,45.0,64.5,49.5,37.8,34.2,46.0,45.75,49.9,31.6,23.75,31.5,29.0,27.0,17.5,17.5,13.65,12.9,15.1,16.3,32.4,21.15,21.0,13.82,14.29,15.42,9.98,10.75,13.8,15.0,17.0,17.56,23.18,28.65,26.9,29.52,45.26,39.19
1283,Neogen Chemicals Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.7,349.2,356.45,351.1,474.35,671.3,727.45,864.3,851.0,1237.35,1646.7,1744.85,1294.65,1481.5,1249.7,1283.0,1616.0,1758.55,1480.6,1192.8,1587.95,2072.2,2228.05,1545.1,1655.45,1502.35,1450.0
1284,Nesco Ltd.,1294.65,586.15,541.2,468.6,569.65,558.25,519.65,630.7,619.65,672.05,739.8,768.6,742.25,641.45,782.8,807.25,1091.95,1242.15,1733.25,1545.25,1491.4,1392.45,1680.05,1500.0,1613.85,1748.6,1904.3,2351.8,2384.05,528.05,526.85,551.9,521.65,431.05,436.75,482.0,565.3,588.75,659.9,488.5,425.95,538.8,548.5,527.4,605.3,607.25,582.0,552.85,545.75,567.4,610.5,517.15,631.25,688.3,882.9,829.4,921.3,939.5,962.9,912.5,1166.75,1310.8,1398.45
1285,Nestle India Ltd.,2892.95,3351.95,3795.2,3668.55,4097.1,4219.35,4172.7,4602.85,4535.85,4374.35,4990.4,4589.45,4867.0,5198.55,5297.25,5008.15,4946.0,5979.55,6379.8,6941.9,6345.65,6350.35,5824.1,5768.95,6488.75,6428.2,6029.8,6681.2,6723.05,7222.25,7845.0,8202.15,9808.55,9705.7,11107.25,10994.25,11920.65,13912.5,14789.95,16302.4,17178.0,15924.7,18392.35,17170.25,17676.75,19450.75,19708.55,17376.8,17493.15,19124.6,19598.8,19691.85,22882.95,22493.25,26595.5,2623.3,2552.55,2688.95,2170.25,2251.05,2465.55,1152.9,1271.0
1286,Nettlinx Ltd.,10.1,9.53,10.9,13.92,14.0,11.3,10.51,10.95,8.94,10.9,5.56,4.94,6.4,11.49,10.6,9.32,12.0,30.0,28.7,24.0,21.8,21.0,21.25,32.8,61.65,105.0,138.3,106.85,89.7,81.8,77.4,69.5,53.65,71.65,50.0,37.75,33.95,28.7,27.65,15.05,21.2,54.7,64.95,67.3,57.9,60.0,65.8,81.85,65.2,87.7,107.7,200.15,89.65,91.69,105.55,118.4,111.35,85.73,77.33,36.32,26.46,29.07,22.25
1287,Network18 Media & Invst. Ltd.,164.2,151.55,131.75,133.95,134.05,78.95,36.9,36.75,36.45,30.7,41.3,29.3,33.1,27.0,34.6,33.9,61.0,47.1,67.35,50.0,59.35,48.9,58.65,43.95,44.35,44.6,33.4,35.45,52.2,45.2,60.7,59.6,42.6,43.35,40.85,35.65,27.15,21.35,24.2,18.4,40.55,33.0,35.9,36.45,50.1,51.95,90.4,85.1,68.95,64.5,66.15,54.22,62.78,63.85,87.36,85.9,79.38,81.98,71.47,43.4,58.89,51.47,48.54
1288,Neuland Laboratories Ltd.,95.05,114.15,134.55,117.85,124.0,91.25,70.8,72.9,80.1,132.1,121.4,93.85,96.6,213.0,318.35,260.0,363.95,473.05,491.55,333.0,365.5,906.5,795.75,700.0,863.65,968.4,1028.7,1488.15,1409.85,986.5,891.75,707.05,642.3,673.75,459.0,674.35,522.85,501.1,418.55,283.45,575.55,1148.05,1094.6,2087.95,2142.2,1551.6,1548.25,1026.6,1178.2,1362.85,1668.5,1799.45,2830.65,3690.45,5287.4,6281.3,7483.05,12391.6,13727.8,12076.95,12006.15,14621.75,15741.25
1289,New Delhi Television Ltd.,113.4,108.95,86.25,70.55,67.9,50.75,30.7,39.4,59.3,71.05,74.2,56.95,87.55,80.1,80.5,74.3,78.9,92.45,114.3,114.5,108.5,91.85,85.35,106.2,88.25,84.35,69.65,68.4,51.25,60.85,45.8,41.6,51.45,32.9,38.45,36.55,35.25,31.15,26.0,25.4,37.6,32.6,39.35,56.6,71.45,86.85,115.25,226.05,176.25,375.3,345.6,192.2,227.4,208.4,262.55,210.2,221.15,187.75,161.3,111.65,159.75,114.6,91.95
1290,New India Assurance Co. Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.75,706.5,318.1,224.15,182.15,190.75,148.65,109.8,135.35,112.2,116.7,104.55,128.75,154.35,169.55,163.05,140.1,111.6,79.9,85.8,125.6,97.0,116.9,140.4,210.25,227.55,236.95,230.35,202.5,154.55,192.45,189.0,189.0
1291,Newgen Software Technologies Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.7,253.2,217.45,293.05,328.95,310.45,266.7,194.75,102.65,148.75,216.95,269.1,283.25,636.65,584.0,589.5,465.8,357.45,356.55,359.95,450.6,679.35,900.3,1562.05,794.55,971.8,1343.05,1700.5,994.8,1171.3,888.95,998.3
1292,Newtime Infrastructure Ltd.,24.6,35.0,34.65,23.0,28.05,28.35,23.0,32.5,36.7,32.3,49.05,31.55,32.0,34.65,15.0,45.9,48.0,39.9,36.75,22.65,19.5,22.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.09,10.45,10.3,32.94,36.76,16.08,11.64,8.39,3.61,2.75,2.78,2.39
1293,Nexome Capital Markets Ltd.,47.75,47.75,42.0,38.9,36.15,36.85,27.05,28.15,41.6,31.35,35.15,43.15,50.0,42.4,45.15,23.4,43.3,24.45,21.8,22.8,19.2,19.15,23.45,28.0,22.85,35.0,40.5,45.0,48.0,52.0,52.0,56.8,50.9,48.0,36.15,39.0,38.8,31.9,34.25,21.0,27.95,28.5,34.95,44.0,38.0,40.5,40.05,40.95,43.65,42.65,41.9,38.79,40.7,43.24,53.09,49.7,54.8,95.06,90.1,74.19,101.37,129.1,121.25
1294,Next Mediaworks Ltd.,32.75,36.7,38.55,5.42,5.88,4.79,3.9,3.79,2.75,3.1,4.07,3.19,2.96,2.62,3.4,2.95,7.4,7.15,15.76,13.25,16.91,13.47,17.4,16.0,22.0,17.35,17.85,22.0,22.0,17.9,18.25,14.15,13.5,16.1,24.85,27.35,13.85,11.05,10.12,8.85,7.94,5.42,6.26,3.58,6.0,5.7,10.09,5.36,5.42,5.61,7.28,4.25,4.96,5.32,6.32,6.52,6.89,7.63,8.04,6.28,6.93,6.48,6.93
1295,Nibe Ordnance & Maritime Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,1.44,0.0,0.0,4.1,6.33,7.52,0.0
1296,Nicco Corpn. Ltd.,6.32,5.12,4.05,2.91,2.94,2.59,1.63,1.58,1.53,1.14,0.96,0.65,0.56,0.61,0.39,0.67,1.0,0.89,0.67,0.53,0.5,0.55,0.66,0.48,0.53,0.52,0.57,0.58,0.44,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297,Nicco Parks & Resorts Ltd.,86.5,79.3,83.15,9.91,19.6,21.55,19.0,19.4,17.25,14.4,13.49,19.1,17.8,16.5,14.0,11.93,14.69,16.24,17.3,15.4,37.3,41.65,36.85,28.7,32.0,28.3,24.95,31.4,24.5,23.25,39.75,36.3,41.0,48.5,36.5,28.3,22.2,25.35,35.7,34.05,30.0,50.7,50.2,51.5,43.1,50.7,61.0,64.1,70.0,117.95,121.3,116.75,128.75,138.1,151.85,147.75,150.15,144.65,133.35,115.95,116.05,105.25,101.7
1298,Nicco Uco Alliance Credit Ltd.,1.2,1.28,1.05,0.67,0.67,0.73,0.5,0.42,0.79,0.47,0.43,0.38,0.16,0.35,0.52,1.58,1.34,1.9,0.83,0.47,0.4,0.0,0.0,2.04,1.36,0.55,0.35,0.39,0.4,0.38,0.0,0.37,0.37,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.0,0.0,0.0,0.19,0.19,0.29,0.32,0.36,0.37,0.35,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299,Nidhi Granites Ltd.,23.0,17.5,19.65,20.2,23.0,30.9,0.0,32.4,29.3,39.0,40.0,19.85,16.35,15.55,0.0,12.8,14.77,31.0,63.95,33.4,27.95,27.3,40.2,26.3,39.65,36.6,29.8,23.25,24.6,24.05,21.1,19.85,29.0,29.0,30.4,31.9,20.4,20.4,21.5,22.25,22.25,22.3,27.05,35.7,39.65,89.95,70.7,103.7,65.85,65.1,55.8,67.0,71.3,68.25,125.22,218.55,143.0,155.0,225.1,139.52,174.2,374.9,459.0
1300,Nihar Info Global Ltd.,3.79,2.76,2.6,1.83,3.36,2.24,1.4,1.84,1.45,1.11,1.49,0.69,0.39,0.4,0.3,0.5,0.63,0.0,0.0,15.19,31.4,21.8,21.85,18.6,14.98,13.8,15.22,19.5,18.0,10.0,14.9,13.9,11.3,12.3,13.65,10.45,9.88,8.9,5.05,5.25,5.0,4.9,4.89,3.66,8.26,7.14,20.83,11.97,9.28,8.5,9.5,6.2,6.05,6.25,6.31,6.8,5.78,6.27,5.86,4.33,5.34,5.98,6.49
1301,Nikhil Adhesives Ltd.,33.6,41.5,41.75,35.5,48.95,51.8,39.8,33.6,28.4,32.0,33.25,28.1,23.5,25.25,26.5,21.65,28.0,33.1,48.3,27.8,29.65,39.0,53.85,43.0,49.0,47.5,49.4,75.95,131.9,132.85,206.5,239.95,154.0,134.45,139.45,126.0,170.0,128.0,128.75,97.6,105.4,144.6,207.3,378.25,706.5,733.0,782.75,720.4,720.5,1676.45,151.4,97.35,120.25,116.0,126.15,124.1,125.0,136.55,118.95,87.22,122.49,100.2,116.0
1302,Nila Infrastructures Ltd.,2.81,2.75,3.01,2.05,2.1,1.8,1.58,2.98,4.01,3.99,3.57,2.59,3.38,2.79,2.75,2.6,4.58,4.83,6.02,8.08,7.43,8.8,18.13,12.51,12.04,12.9,12.98,16.55,17.3,17.35,26.9,19.5,13.5,7.83,7.98,8.07,7.02,4.3,4.25,2.51,4.72,4.56,5.81,4.43,6.06,5.18,7.19,5.7,5.13,6.57,6.86,4.7,5.58,6.78,9.06,10.43,12.31,12.72,12.57,9.0,12.41,9.98,10.17
1303,Nila Spaces Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.48,1.94,1.18,1.07,0.51,1.33,1.14,1.76,1.4,2.18,1.66,4.77,4.05,2.98,3.36,3.5,2.85,3.75,3.15,4.79,5.4,9.99,11.79,17.21,12.2,11.96,17.16,18.43
1304,Nile Ltd.,107.25,120.45,157.75,129.5,175.6,170.2,146.85,115.35,110.0,111.45,110.2,95.3,78.0,55.0,60.2,76.05,123.55,167.5,285.3,225.5,216.0,177.4,186.5,156.4,199.85,276.1,340.45,597.8,655.95,626.9,911.0,698.0,506.3,357.7,385.65,343.95,253.9,232.85,223.15,167.05,210.75,269.55,317.7,296.9,485.35,532.95,526.6,555.65,410.4,658.7,591.4,470.35,743.55,700.0,871.75,1276.2,1324.1,2208.95,1890.35,1473.35,1622.3,1815.2,1795.75
1305,Nilkamal Ltd.,278.25,414.0,380.55,300.3,250.5,264.55,182.55,214.65,231.65,211.25,234.5,171.6,138.2,96.25,155.95,197.3,348.6,380.45,466.25,422.2,592.0,966.25,1253.8,1105.2,1259.5,1278.5,1263.65,1951.55,1884.75,1552.95,1835.75,1521.25,1598.0,1689.0,1479.95,1432.0,1195.1,1207.15,1303.45,1003.15,1142.45,1315.75,1498.4,1950.3,2223.9,2838.4,2430.95,2031.1,1922.0,2050.1,1886.35,1751.75,2434.55,2274.05,2231.8,1706.25,1947.45,1920.3,1908.75,1538.95,1785.95,1536.15,1507.4
1306,Nilkanth Engineering Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1307,Nimbus Projects Ltd.,13.31,21.05,19.25,17.3,17.0,20.25,16.55,22.0,32.1,36.35,31.05,30.7,44.7,57.8,46.6,42.8,29.65,32.85,36.0,42.8,36.25,30.85,36.0,47.5,50.35,38.8,52.5,42.4,51.35,88.9,63.5,62.0,60.45,46.9,37.05,13.1,15.3,16.5,15.25,20.0,24.85,23.5,30.0,16.65,32.95,28.3,25.05,44.35,38.2,42.8,40.1,39.44,31.35,33.2,38.87,33.12,52.07,115.77,220.3,255.1,212.75,268.95,295.7
1308,Nippon Life India Asset Mgmt. Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,246.75,227.45,172.15,159.2,210.05,221.45,259.8,354.3,248.8,314.85,261.95,298.0,338.1,366.35,425.7,351.9,348.3,270.75,268.85,249.2,209.9,288.3,328.6,446.95,470.3,644.85,651.0,726.85,578.1,800.1,868.25,907.05
1309,Niraj Cement Structurals Ltd.,60.65,64.15,60.75,36.95,33.85,22.95,17.5,16.65,13.26,13.34,11.25,6.54,4.87,5.04,5.39,4.84,9.0,7.0,5.01,10.69,9.31,16.26,23.5,14.8,11.03,10.52,21.45,36.9,39.0,24.3,35.65,40.65,19.55,26.45,21.3,17.4,12.3,13.05,15.1,30.6,52.7,36.5,48.0,42.55,43.9,40.4,31.85,29.8,29.0,30.05,33.75,25.73,29.65,35.66,43.76,37.05,52.63,62.77,71.85,54.15,55.06,45.14,32.4
1310,Nitco Ltd.,45.55,65.15,67.85,60.65,57.95,45.1,32.75,38.05,26.55,22.75,23.65,12.0,12.55,11.81,16.96,15.15,20.6,23.7,23.4,17.0,22.55,30.55,49.15,39.15,66.95,75.7,49.8,58.4,65.0,85.7,109.55,92.5,66.85,43.5,42.15,38.8,34.05,25.8,29.7,12.6,18.6,16.5,25.45,19.05,27.65,22.7,30.9,23.0,23.2,22.6,27.05,19.3,18.07,18.76,31.81,55.86,79.88,83.66,127.6,117.7,148.3,115.75,111.25
1311,Nitin Castings Ltd.,52.75,55.2,59.6,57.9,40.85,33.5,61.0,54.95,46.95,43.95,41.6,35.0,36.75,0.0,0.0,39.0,44.65,46.0,72.0,60.0,64.2,54.15,56.0,55.1,77.1,57.0,75.0,104.8,116.85,132.0,188.0,107.0,160.1,143.65,135.0,75.95,75.35,67.8,77.0,69.5,50.85,53.0,50.85,61.5,95.0,97.45,105.0,126.85,130.5,140.85,154.85,245.55,478.55,486.9,502.35,621.05,859.95,668.85,695.0,664.0,602.35,557.95,503.8
1312,Nitin Fire Protection Inds. Ltd.,370.4,309.05,79.8,74.0,98.0,37.7,27.2,45.1,48.1,55.75,67.65,58.9,62.4,54.55,61.6,53.25,73.9,69.8,31.1,34.75,28.15,41.9,44.55,33.4,31.3,25.95,23.85,22.55,9.11,10.05,6.75,4.19,2.89,2.44,1.8,1.34,0.69,0.53,0.35,0.32,0.64,0.7,0.78,0.56,1.39,1.24,2.17,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1313,Nitiraj Engineers Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1314,Nitta Gelatin India Ltd.,193.8,169.7,149.7,100.15,112.75,114.6,83.45,86.85,111.5,169.25,246.15,154.15,115.55,76.05,82.35,94.35,157.7,145.3,170.7,125.8,133.0,126.6,172.4,204.2,181.2,213.6,206.25,190.85,181.75,178.45,263.0,199.15,177.95,137.15,131.0,126.05,123.8,102.3,124.55,89.3,112.4,150.95,170.9,166.8,201.35,235.65,236.8,282.9,338.8,514.05,616.6,889.35,811.55,811.05,871.5,834.4,835.15,808.0,761.8,655.7,825.65,892.65,873.7
1315,Niyogin Fintech Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.9,14.75,5.16,3.84,3.4,2.75,3.93,7.11,13.15,17.3,17.35,17.35,58.75,92.75,96.55,114.7,83.2,98.35,70.0,52.7,50.85,32.5,28.5,69.8,72.25,68.15,82.45,81.35,73.6,62.0,42.2,45.6,36.5,29.77,49.75,70.16,87.29,65.17,68.11,56.25,72.33,44.11,58.86,72.29,58.72
1316,Nocil Ltd.,22.0,22.0,20.75,16.65,16.8,15.75,15.05,16.65,17.1,16.85,17.7,14.0,14.95,12.96,14.91,15.54,24.65,41.2,35.1,37.65,51.8,44.8,58.0,46.1,53.6,71.0,67.3,93.85,112.3,142.3,181.95,191.35,162.35,151.7,165.55,147.15,117.6,112.25,101.5,65.8,82.8,142.3,143.55,174.6,216.55,290.5,232.4,249.45,253.1,252.7,233.15,206.3,220.85,227.9,273.5,249.3,276.25,290.45,243.65,174.9,198.4,174.0,182.75
1317,Noida Toll Bridge Co. Ltd.,31.4,31.6,30.3,26.95,25.55,23.6,19.65,22.45,25.95,27.9,22.6,19.95,22.55,20.0,21.5,23.9,32.6,32.1,34.85,33.3,32.0,24.55,24.85,22.4,23.55,21.8,13.21,11.25,9.46,14.44,13.06,11.94,9.98,6.95,7.82,5.55,3.49,4.9,3.48,2.67,3.87,3.49,6.47,6.09,6.53,6.19,8.52,7.4,7.2,7.54,7.78,6.71,6.73,6.86,10.58,7.41,13.02,16.46,13.62,2.65,4.04,4.11,4.39
1318,North Eastern Carrying Corpn. Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.15,65.5,72.85,69.0,64.05,72.1,67.2,86.3,84.1,82.0,76.35,77.0,74.0,65.1,45.55,34.6,39.0,42.6,59.9,46.55,39.85,33.85,15.75,13.45,8.09,10.22,8.29,6.85,5.29,5.24,3.54,12.49,8.04,9.3,7.91,15.91,18.6,19.1,32.25,25.45,24.85,24.9,18.02,19.34,22.93,28.75,22.71,25.92,32.12,35.45,22.62,24.75,20.48,22.17
1319,Northern Arc Capital Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.25,217.35,167.2,232.6,271.6,264.8
